group	fwd	band	rnd	cause	n_shooters	n_shots	gun_shots	sent_shots	ff_shots	dmg_round	hp_start	max_hp	age	since_move	sm_bucket	since_act	thrown_ever	d2_enemy	depth_norm	batk_on_tile	healed_ever	n_enemy_bots_adj	rounds_since_first_dmg	n_dmg_rounds	gun_inrange	sent_inrange
US	1	3	316	EXACT	1	1	1	0	0	7	5	40	66	5	2	2	0	5	0.2795084971874737	0	0	0	14	5	3	0
US	1	3	395	EXACT	1	1	1	0	0	7	5	40	267	1	0	5	0	8	0.3535533905932738	0	0	1	107	5	5	0
US	1	3	446	EXACT	1	1	1	0	0	7	5	40	252	4	2	1	0	16	0.5	0	0	0	180	5	5	0
US	1	3	450	EXACT	1	1	1	0	0	7	5	40	186	1	0	4	0	25	0.625	0	0	0	124	5	4	0
US	1	3	453	EXACT	2	2	2	0	0	14	12	40	11	6	2	1	0	10	0.39528470752104744	0	1	0	5	4	4	0
US	1	3	457	EXACT	1	1	1	0	0	7	5	40	34	3	2	1	0	10	0.39528470752104744	0	0	0	3	3	3	0
US	1	3	494	EXACT	1	1	1	0	0	7	5	40	258	1	0	132	0	13	0.45069390943299864	0	0	1	53	5	4	0
US	1	4	524	EXACT	2	2	2	0	0	14	12	40	44	3	2	1	0	16	0.5	0	0	0	2	2	6	0
US	0	4	537	EXACT	1	1	1	0	0	7	5	40	50	18	3	1	0	16	0.5	0	0	1	5	5	4	0
US	0	4	554	EXACT	1	1	1	0	0	7	5	40	126	3	2	1	0	16	0.5	0	0	1	11	5	5	0
US	1	0	42	EXACT	1	1	1	0	0	7	5	40	42	14	3	1	1	13	0.1414213562373095	0	0	0	5	5	2	0
US	1	1	129	EXACT	1	1	1	0	0	7	5	40	44	7	2	1	1	25	0.19611613513818404	0	0	1	5	5	2	0
