arm	opp	map	seed	seat	md5	turns	cond	winner	tb
V543DOSE	CTRLWAVE	holmgang	1	A	86a5195f3046a9319132186ea17c042c	1000	titanium_collected	B	0
V543DOSE	CTRLWAVE	holmgang	1	B	d32b3d58ce6b1211084d715c0d87dcbd	454	core_destroyed	B	0
V543DOSE	CTRLWAVE	holmgang	2	A	81d2cefd25ce5e03a33e69946c9d303b	196	core_destroyed	A	0
V543DOSE	CTRLWAVE	holmgang	2	B	8efe7093e9b6953c34a94c616dc37939	208	core_destroyed	B	0
V543DOSE	CTRLWAVE	holmgang	3	A	64808ae98a9728ad1707a578f53ff455	276	core_destroyed	B	0
V543DOSE	CTRLWAVE	holmgang	3	B	c10d5fce7409659a2fb4afbbd3264786	489	core_destroyed	B	0
V543DOSE	CTRLWAVE	holmgang	4	A	bc88724f1cbb71a1a804dbf9d8a79d7a	161	core_destroyed	B	0
V543DOSE	CTRLWAVE	holmgang	4	B	0766503493bb76966f119d35d69301d4	295	core_destroyed	B	0
V543DOSE	CTRLWAVE	holmgang	5	A	42a6adcd847f951e27bede09bba2c0c3	1000	titanium_collected	B	0
V543DOSE	CTRLWAVE	holmgang	5	B	e25e6f5070dfa985d2b4e5973c84c591	1000	titanium_collected	B	0
V543DOSE	CTRLWAVE	holmgang	6	A	fb141ec2e9ee2a3b8c5ac5875750c460	249	core_destroyed	B	0
V543DOSE	CTRLWAVE	holmgang	6	B	4384ad364f9a0304f0ff651011793275	541	core_destroyed	B	0
V543DOSE	CTRLWAVE	holmgang	7	A	1eda8bdc20695b8128b6e3d0fe54381d	162	core_destroyed	B	0
V543DOSE	CTRLWAVE	holmgang	7	B	aa6218175b192cefe5bf583fc8955f97	1000	titanium_collected	B	0
V543DOSE	CTRLWAVE	holmgang	8	A	f79b1ba25be64646bc9172c41ad90418	212	core_destroyed	B	0
V543DOSE	CTRLWAVE	holmgang	8	B	5a424d6508d870c7370c1cadfdc617d2	317	core_destroyed	B	0
V543DOSE	CTRLWAVE	holmgang	9	A	6a3ec7d45f5afda4e43ddbb9fcfe5f8a	228	core_destroyed	B	0
V543DOSE	CTRLWAVE	holmgang	9	B	ffeb3c5b03f5048d5b4ba7510abc3713	494	core_destroyed	B	0
V543DOSE	CTRLWAVE	holmgang	10	A	e3d255d646263a28ad85eb426dc4afa4	496	core_destroyed	B	0
V543DOSE	CTRLWAVE	holmgang	10	B	ce4f6476ead587df46ce281a034499b6	1000	titanium_collected	B	0
V543DOSE	CTRLWAVE	holmgang	11	A	217cf379ee67abaf6b67e0153f6a9da9	1000	titanium_collected	B	0
V543DOSE	CTRLWAVE	holmgang	11	B	2069ade2c7201ffbcb1831c5e1b1e43e	817	core_destroyed	B	0
V543DOSE	CTRLWAVE	holmgang	12	A	7cdc4b3ec0054bc61099059037f0ba50	477	core_destroyed	B	0
V543DOSE	CTRLWAVE	holmgang	12	B	145bafeb88274d18c99f578d6a5590d0	241	core_destroyed	B	0
V543DOSE	CTRLWAVE	holmgang	13	A	a0d1f109a521114ee988ed24b9cb3c5c	1000	titanium_collected	B	0
